feature,family
H1_std_30m,analogue
H1_mean_60m,analogue
H1_std_60m,analogue
H1_mean_120m,analogue
H1_std_120m,analogue
H1_delta_15m,analogue_trend
H1_delta_60m,analogue_trend
H1_minute_volatility_15m,analogue_volatility
H1_minute_volatility_60m,analogue_volatility
DV_pressure_mean_5m,analogue
DV_pressure_std_5m,analogue
DV_pressure_mean_15m,analogue
DV_pressure_std_15m,analogue
DV_pressure_mean_30m,analogue
DV_pressure_std_30m,analogue
DV_pressure_mean_60m,analogue
DV_pressure_std_60m,analogue
DV_pressure_mean_120m,analogue
DV_pressure_std_120m,analogue
DV_pressure_delta_15m,analogue_trend
DV_pressure_delta_60m,analogue_trend
DV_pressure_minute_volatility_15m,analogue_volatility
DV_pressure_minute_volatility_60m,analogue_volatility
Reservoirs_mean_5m,analogue
Reservoirs_std_5m,analogue
Reservoirs_mean_15m,analogue
Reservoirs_std_15m,analogue
Reservoirs_mean_30m,analogue
Reservoirs_std_30m,analogue
Reservoirs_mean_60m,analogue
Reservoirs_std_60m,analogue
Reservoirs_mean_120m,analogue
Reservoirs_std_120m,analogue
Reservoirs_delta_15m,analogue_trend
Reservoirs_delta_60m,analogue_trend
Reservoirs_minute_volatility_15m,analogue_volatility
Reservoirs_minute_volatility_60m,analogue_volatility
Oil_temperature_mean_5m,analogue
Oil_temperature_std_5m,analogue
Oil_temperature_mean_15m,analogue
Oil_temperature_std_15m,analogue
Oil_temperature_mean_30m,analogue
Oil_temperature_std_30m,analogue
Oil_temperature_mean_60m,analogue
Oil_temperature_std_60m,analogue
Oil_temperature_mean_120m,analogue
Oil_temperature_std_120m,analogue
Oil_temperature_delta_15m,analogue_trend
Oil_temperature_delta_60m,analogue_trend
Oil_temperature_minute_volatility_15m,analogue_volatility
Oil_temperature_minute_volatility_60m,analogue_volatility
Motor_current_mean_5m,analogue
Motor_current_std_5m,analogue
Motor_current_mean_15m,analogue
Motor_current_std_15m,analogue
Motor_current_mean_30m,analogue
Motor_current_std_30m,analogue
Motor_current_mean_60m,analogue
Motor_current_std_60m,analogue
Motor_current_mean_120m,analogue
Motor_current_std_120m,analogue
Motor_current_delta_15m,analogue_trend
Motor_current_delta_60m,analogue_trend
Motor_current_minute_volatility_15m,analogue_volatility
Motor_current_minute_volatility_60m,analogue_volatility
COMP_duty_5m,digital_duty_cycle
COMP_transitions_5m,digital_transition
COMP_duty_15m,digital_duty_cycle
COMP_transitions_15m,digital_transition
COMP_duty_30m,digital_duty_cycle
COMP_transitions_30m,digital_transition
COMP_duty_60m,digital_duty_cycle
COMP_transitions_60m,digital_transition
COMP_duty_120m,digital_duty_cycle
COMP_transitions_120m,digital_transition
DV_eletric_duty_5m,digital_duty_cycle
DV_eletric_transitions_5m,digital_transition
DV_eletric_duty_15m,digital_duty_cycle
DV_eletric_transitions_15m,digital_transition
DV_eletric_duty_30m,digital_duty_cycle
DV_eletric_transitions_30m,digital_transition
DV_eletric_duty_60m,digital_duty_cycle
DV_eletric_transitions_60m,digital_transition
DV_eletric_duty_120m,digital_duty_cycle
DV_eletric_transitions_120m,digital_transition
Towers_duty_5m,digital_duty_cycle
Towers_transitions_5m,digital_transition
Towers_duty_15m,digital_duty_cycle
Towers_transitions_15m,digital_transition
Towers_duty_30m,digital_duty_cycle
Towers_transitions_30m,digital_transition
Towers_duty_60m,digital_duty_cycle
Towers_transitions_60m,digital_transition
Towers_duty_120m,digital_duty_cycle
Towers_transitions_120m,digital_transition
MPG_duty_5m,digital_duty_cycle
MPG_transitions_5m,digital_transition
MPG_duty_15m,digital_duty_cycle
MPG_transitions_15m,digital_transition
MPG_duty_30m,digital_duty_cycle
MPG_transitions_30m,digital_transition
MPG_duty_60m,digital_duty_cycle
MPG_transitions_60m,digital_transition
MPG_duty_120m,digital_duty_cycle
MPG_transitions_120m,digital_transition
LPS_duty_5m,digital_duty_cycle
LPS_transitions_5m,digital_transition
LPS_duty_15m,digital_duty_cycle
LPS_transitions_15m,digital_transition
LPS_duty_30m,digital_duty_cycle
LPS_transitions_30m,digital_transition
LPS_duty_60m,digital_duty_cycle
LPS_transitions_60m,digital_transition
LPS_duty_120m,digital_duty_cycle
LPS_transitions_120m,digital_transition
Pressure_switch_duty_5m,digital_duty_cycle
Pressure_switch_transitions_5m,digital_transition
Pressure_switch_duty_15m,digital_duty_cycle
Pressure_switch_transitions_15m,digital_transition
Pressure_switch_duty_30m,digital_duty_cycle
Pressure_switch_transitions_30m,digital_transition
Pressure_switch_duty_60m,digital_duty_cycle
Pressure_switch_transitions_60m,digital_transition
Pressure_switch_duty_120m,digital_duty_cycle
Pressure_switch_transitions_120m,digital_transition
Oil_level_duty_5m,digital_duty_cycle
Oil_level_transitions_5m,digital_transition
Oil_level_duty_15m,digital_duty_cycle
Oil_level_transitions_15m,digital_transition
Oil_level_duty_30m,digital_duty_cycle
Oil_level_transitions_30m,digital_transition
Oil_level_duty_60m,digital_duty_cycle
Oil_level_transitions_60m,digital_transition
Oil_level_duty_120m,digital_duty_cycle
Oil_level_transitions_120m,digital_transition
Caudal_impulses_duty_5m,digital_duty_cycle
Caudal_impulses_transitions_5m,digital_transition
Caudal_impulses_duty_15m,digital_duty_cycle
Caudal_impulses_transitions_15m,digital_transition
Caudal_impulses_duty_30m,digital_duty_cycle
Caudal_impulses_transitions_30m,digital_transition
Caudal_impulses_duty_60m,digital_duty_cycle
Caudal_impulses_transitions_60m,digital_transition
Caudal_impulses_duty_120m,digital_duty_cycle
Caudal_impulses_transitions_120m,digital_transition
COMP_MPG_mismatch_5m,state_consistency
COMP_DV_equal_5m,state_consistency
TP3_Reservoir_abs_diff_5m,pressure_relationship
COMP_MPG_mismatch_15m,state_consistency
COMP_DV_equal_15m,state_consistency
TP3_Reservoir_abs_diff_15m,pressure_relationship
COMP_MPG_mismatch_30m,state_consistency
COMP_DV_equal_30m,state_consistency
TP3_Reservoir_abs_diff_30m,pressure_relationship
COMP_MPG_mismatch_60m,state_consistency
COMP_DV_equal_60m,state_consistency
TP3_Reservoir_abs_diff_60m,pressure_relationship
COMP_MPG_mismatch_120m,state_consistency
COMP_DV_equal_120m,state_consistency
TP3_Reservoir_abs_diff_120m,pressure_relationship
Motor_current_x_COMP0,state_interaction
Motor_current_x_COMP1,state_interaction
TP2_x_COMP0,state_interaction
H1_x_COMP1,state_interaction
