event_id,sensor,period,samples,active_fraction,baseline_active_fraction,delta_vs_baseline
F01,Pressure_switch,pre_60m,298,0.7785234899328859,0.8660589060308556,-0.08753541609796966
F01,Pressure_switch,failure,8657,0.9916830310731201,0.8660589060308556,0.1256241250422645
F01,Oil_level,baseline_24h_to_2h,5704,0.8664095371669004,0.8664095371669004,0.0
F01,Oil_level,pre_120_to_60m,299,0.7926421404682275,0.8664095371669004,-0.07376739669867294
F01,Oil_level,pre_60m,298,0.7785234899328859,0.8664095371669004,-0.0878860472340145
F01,Oil_level,failure,8657,0.9976897308536444,0.8664095371669004,0.13128019368674404
F01,Caudal_impulses,baseline_24h_to_2h,5704,0.8664095371669004,0.8664095371669004,0.0
F01,Caudal_impulses,pre_120_to_60m,299,0.7926421404682275,0.8664095371669004,-0.07376739669867294
F01,Caudal_impulses,pre_60m,298,0.7785234899328859,0.8664095371669004,-0.0878860472340145
F01,Caudal_impulses,failure,8657,0.9976897308536444,0.8664095371669004,0.13128019368674404
F02,COMP,baseline_24h_to_2h,6739,0.8707523371420092,0.8707523371420092,0.0
F02,COMP,pre_120_to_60m,364,0.8653846153846154,0.8707523371420092,-0.005367721757393751
F02,COMP,pre_60m,363,0.6776859504132231,0.8707523371420092,-0.19306638672878607
F02,COMP,failure,2360,0.008050847457627118,0.8707523371420092,-0.8627014896843821
F02,DV_eletric,baseline_24h_to_2h,6739,0.1293960528268289,0.1293960528268289,0.0
F02,DV_eletric,pre_120_to_60m,364,0.1346153846153846,0.1293960528268289,0.0052193317885557144
F02,DV_eletric,pre_60m,363,0.32231404958677684,0.1293960528268289,0.19291799675994795
F02,DV_eletric,failure,2360,0.9919491525423729,0.1293960528268289,0.8625530997155441
F02,Towers,baseline_24h_to_2h,6739,0.9351535836177475,0.9351535836177475,0.0
F02,Towers,pre_120_to_60m,364,0.9395604395604396,0.9351535836177475,0.004406855942692078
F02,Towers,pre_60m,363,0.8347107438016529,0.9351535836177475,-0.10044283981609459
F02,Towers,failure,2360,0.5042372881355932,0.9351535836177475,-0.43091629548215427
F02,MPG,baseline_24h_to_2h,6739,0.8707523371420092,0.8707523371420092,0.0
F02,MPG,pre_120_to_60m,364,0.8653846153846154,0.8707523371420092,-0.005367721757393751
F02,MPG,pre_60m,363,0.6776859504132231,0.8707523371420092,-0.19306638672878607
F02,MPG,failure,2360,0.008050847457627118,0.8707523371420092,-0.8627014896843821
F02,LPS,baseline_24h_to_2h,6739,0.0,0.0,0.0
F02,LPS,pre_120_to_60m,364,0.0,0.0,0.0
F02,LPS,pre_60m,363,0.0,0.0,0.0
F02,LPS,failure,2360,0.0,0.0,0.0
F02,Pressure_switch,baseline_24h_to_2h,6739,0.9988128802492952,0.9988128802492952,0.0
F02,Pressure_switch,pre_120_to_60m,364,0.9945054945054945,0.9988128802492952,-0.004307385743800629
F02,Pressure_switch,pre_60m,363,1.0,0.9988128802492952,0.0011871197507048459
F02,Pressure_switch,failure,2360,0.9953389830508474,0.9988128802492952,-0.0034738971984477063
F02,Oil_level,baseline_24h_to_2h,6739,1.0,1.0,0.0
F02,Oil_level,pre_120_to_60m,364,1.0,1.0,0.0
F02,Oil_level,pre_60m,363,1.0,1.0,0.0
F02,Oil_level,failure,2360,1.0,1.0,0.0
F02,Caudal_impulses,baseline_24h_to_2h,6739,1.0,1.0,0.0
F02,Caudal_impulses,pre_120_to_60m,364,1.0,1.0,0.0
F02,Caudal_impulses,pre_60m,363,1.0,1.0,0.0
F02,Caudal_impulses,failure,2360,1.0,1.0,0.0
F03,COMP,baseline_24h_to_2h,7990,0.8943679599499375,0.8943679599499375,0.0
F03,COMP,pre_120_to_60m,363,0.8815426997245179,0.8943679599499375,-0.012825260225419521
F03,COMP,pre_60m,363,0.7355371900826446,0.8943679599499375,-0.15883076986729283
F03,COMP,failure,17315,0.0,0.8943679599499375,-0.8943679599499375
F03,DV_eletric,baseline_24h_to_2h,7990,0.10563204005006258,0.10563204005006258,0.0
F03,DV_eletric,pre_120_to_60m,363,0.1184573002754821,0.10563204005006258,0.012825260225419521
F03,DV_eletric,pre_60m,363,0.2644628099173554,0.10563204005006258,0.1588307698672928
F03,DV_eletric,failure,17315,1.0,0.10563204005006258,0.8943679599499375
F03,Towers,baseline_24h_to_2h,7990,0.9476846057571965,0.9476846057571965,0.0
F03,Towers,pre_120_to_60m,363,0.9366391184573003,0.9476846057571965,-0.011045487299896184
F03,Towers,pre_60m,363,0.8677685950413223,0.9476846057571965,-0.07991601071587418
F03,Towers,failure,17315,0.5011261911637309,0.9476846057571965,-0.44655841459346557
F03,MPG,baseline_24h_to_2h,7990,0.8943679599499375,0.8943679599499375,0.0
F03,MPG,pre_120_to_60m,363,0.8815426997245179,0.8943679599499375,-0.012825260225419521
F03,MPG,pre_60m,363,0.7355371900826446,0.8943679599499375,-0.15883076986729283
F03,MPG,failure,17315,0.0,0.8943679599499375,-0.8943679599499375
F03,LPS,baseline_24h_to_2h,7990,0.0,0.0,0.0
F03,LPS,pre_120_to_60m,363,0.0,0.0,0.0
F03,LPS,pre_60m,363,0.0,0.0,0.0
F03,LPS,failure,17315,0.01143517181634421,0.0,0.01143517181634421
F03,Pressure_switch,baseline_24h_to_2h,7990,0.9987484355444305,0.9987484355444305,0.0
F03,Pressure_switch,pre_120_to_60m,363,1.0,0.9987484355444305,0.0012515644555695093
F03,Pressure_switch,pre_60m,363,0.9944903581267218,0.9987484355444305,-0.004258077417708672
F03,Pressure_switch,failure,17315,0.9959572624891713,0.9987484355444305,-0.0027911730552592218
F03,Oil_level,baseline_24h_to_2h,7990,1.0,1.0,0.0
F03,Oil_level,pre_120_to_60m,363,1.0,1.0,0.0
F03,Oil_level,pre_60m,363,1.0,1.0,0.0
F03,Oil_level,failure,17315,1.0,1.0,0.0
F03,Caudal_impulses,baseline_24h_to_2h,7990,1.0,1.0,0.0
F03,Caudal_impulses,pre_120_to_60m,363,1.0,1.0,0.0
F03,Caudal_impulses,pre_60m,363,1.0,1.0,0.0
F03,Caudal_impulses,failure,17315,1.0,1.0,0.0
F04,COMP,baseline_24h_to_2h,5459,0.6411430664956952,0.6411430664956952,0.0
F04,COMP,pre_120_to_60m,363,0.42424242424242425,0.6411430664956952,-0.21690064225327094
F04,COMP,pre_60m,363,0.2837465564738292,0.6411430664956952,-0.357396510021866
F04,COMP,failure,1622,0.02651048088779285,0.6411430664956952,-0.6146325856079023
F04,DV_eletric,baseline_24h_to_2h,5459,0.3588569335043048,0.3588569335043048,0.0
F04,DV_eletric,pre_120_to_60m,363,0.5757575757575758,0.3588569335043048,0.216900642253271
F04,DV_eletric,pre_60m,363,0.7162534435261708,0.3588569335043048,0.357396510021866
F04,DV_eletric,failure,1622,0.9734895191122072,0.3588569335043048,0.6146325856079023
F04,Towers,baseline_24h_to_2h,5459,0.8208463088477743,0.8208463088477743,0.0
F04,Towers,pre_120_to_60m,363,0.7107438016528925,0.8208463088477743,-0.1101025071948818
F04,Towers,pre_60m,363,0.650137741046832,0.8208463088477743,-0.17070856780094235
F04,Towers,failure,1622,0.5117139334155364,0.8208463088477743,-0.3091323754322379
F04,MPG,baseline_24h_to_2h,5459,0.6411430664956952,0.6411430664956952,0.0
F04,MPG,pre_120_to_60m,363,0.42424242424242425,0.6411430664956952,-0.21690064225327094
F04,MPG,pre_60m,363,0.2837465564738292,0.6411430664956952,-0.357396510021866
F04,MPG,failure,1622,0.02651048088779285,0.6411430664956952,-0.6146325856079023
F04,LPS,baseline_24h_to_2h,5459,0.001099102399706906,0.001099102399706906,0.0
F04,LPS,pre_120_to_60m,363,0.0,0.001099102399706906,-0.001099102399706906
F04,LPS,pre_60m,363,0.0,0.001099102399706906,-0.001099102399706906
F04,LPS,failure,1622,0.32675709001233044,0.001099102399706906,0.32565798761262355
F04,Pressure_switch,baseline_24h_to_2h,5459,0.9967026928008793,0.9967026928008793,0.0
F04,Pressure_switch,pre_120_to_60m,363,0.9889807162534435,0.9967026928008793,-0.007721976547435783
F04,Pressure_switch,pre_60m,363,0.9972451790633609,0.9967026928008793,0.0005424862624815452
F04,Pressure_switch,failure,1622,0.9963008631319359,0.9967026928008793,-0.00040182966894342087
F04,Oil_level,baseline_24h_to_2h,5459,1.0,1.0,0.0
F04,Oil_level,pre_120_to_60m,363,1.0,1.0,0.0
F04,Oil_level,pre_60m,363,1.0,1.0,0.0
F04,Oil_level,failure,1622,1.0,1.0,0.0
F04,Caudal_impulses,baseline_24h_to_2h,5459,1.0,1.0,0.0
F04,Caudal_impulses,pre_120_to_60m,363,1.0,1.0,0.0
F04,Caudal_impulses,pre_60m,363,1.0,1.0,0.0
F04,Caudal_impulses,failure,1622,1.0,1.0,0.0
