event_id,sensor,period,n,mean,median,std,q25,q75,baseline_median,baseline_iqr,robust_median_shift_vs_baseline
F01,Motor_current,failure,8657,5.604373628277695,5.707500000000001,0.5985368510225914,5.6175,5.780000000000001,0.04,0.0024999999999995026,2267.0000000004516
F02,TP2,baseline_24h_to_2h,6739,1.1637827570856216,-0.009999999999998,3.1034208617444667,-0.0120000000000004,-0.009999999999998,-0.009999999999998,0.002000000000002399,
F02,TP2,pre_120_to_60m,364,1.246368131868132,-0.0120000000000004,3.224239771018928,-0.0120000000000004,-0.009999999999998,-0.009999999999998,0.002000000000002399,-1.0
F02,TP2,pre_60m,363,2.6412451790633615,-0.0120000000000004,3.95184295952379,-0.0120000000000004,7.859,-0.009999999999998,0.002000000000002399,-1.0
F02,TP2,failure,2360,8.175206779661016,8.556,1.0134098645973482,8.215499999999999,8.596,-0.009999999999998,0.002000000000002399,4282.99999999486
F02,TP3,baseline_24h_to_2h,6739,9.029525745659594,9.008,0.5752708681351869,8.546,9.498999999999999,9.008,0.9529999999999994,
F02,TP3,pre_120_to_60m,364,9.031560439560439,9.008,0.6353424743379572,8.448,9.618,9.008,0.9529999999999994,0.0
F02,TP3,pre_60m,363,8.829553719008265,8.624,0.49092346092032224,8.546,9.196,9.008,0.9529999999999994,-0.40293809024134186
F02,TP3,failure,2360,8.402111864406779,8.378,0.16819383948924843,8.364,8.398,9.008,0.9529999999999994,-0.6610703043022029
F02,H1,baseline_24h_to_2h,6739,7.837837067814217,8.838,3.069832145052548,8.332,9.374,8.838,1.0419999999999998,
F02,H1,pre_120_to_60m,364,7.769203296703296,8.774000000000001,3.1276343998736245,8.2065,9.4475,8.838,1.0419999999999998,-0.06142034548944174
F02,H1,pre_60m,363,6.044595041322315,8.45,4.161499187823011,-0.0120000000000004,9.078,8.838,1.0419999999999998,-0.37236084452975043
F02,H1,failure,2360,0.07102542372881468,-0.0079999999999991,0.8843886344055878,-0.009999999999998,-0.0079999999999991,8.838,1.0419999999999998,-8.489443378119002
F02,DV_pressure,baseline_24h_to_2h,6739,-0.012618192610179074,-0.0180000000000006,0.1231942895534011,-0.0199999999999995,-0.0159999999999982,-0.0180000000000006,0.004000000000001301,
F02,DV_pressure,pre_120_to_60m,364,0.012494505494506335,-0.0199999999999995,0.18702059364964607,-0.0219999999999984,-0.0199999999999995,-0.0180000000000006,0.004000000000001301,-0.49999999999956285
F02,DV_pressure,pre_60m,363,0.510424242424243,-0.0199999999999995,0.8977758808457489,-0.0199999999999995,1.0959999999999992,-0.0180000000000006,0.004000000000001301,-0.49999999999956285
F02,DV_pressure,failure,2360,1.9245601694915253,2.0500000000000007,0.3095259399903171,1.9320000000000004,2.062000000000001,-0.0180000000000006,0.004000000000001301,516.9999999998322
F02,Reservoirs,baseline_24h_to_2h,6739,9.03009971805906,9.008,0.5741775018662534,8.547,9.5,9.008,0.9529999999999994,
F02,Reservoirs,pre_120_to_60m,364,9.031521978021978,9.008,0.6342309214904214,8.4465,9.618,9.008,0.9529999999999994,0.0
F02,Reservoirs,pre_60m,363,8.82959779614325,8.624,0.4904351920123498,8.546,9.197,9.008,0.9529999999999994,-0.40293809024134186
F02,Reservoirs,failure,2360,8.404194067796611,8.38,0.16838708096654734,8.366,8.4,9.008,0.9529999999999994,-0.6589716684155286
F02,Oil_temperature,baseline_24h_to_2h,6739,66.50040436266508,66.52499999999999,3.5897712351203435,63.787499999999994,68.95,66.52499999999999,5.1625000000000085,
F02,Oil_temperature,pre_120_to_60m,364,63.19505494505494,62.02500000000001,4.145546699168789,59.36875,66.95,66.52499999999999,5.1625000000000085,-0.8716707021791712
F02,Oil_temperature,pre_60m,363,64.675,63.650000000000006,5.041351792977007,59.925,70.1375,66.52499999999999,5.1625000000000085,-0.5569007263922482
F02,Oil_temperature,failure,2360,75.87083686440678,76.075,0.551812006907875,75.6,76.275,66.52499999999999,5.1625000000000085,1.8498789346246964
F02,Motor_current,baseline_24h_to_2h,6739,2.1237839442053716,0.0449999999999999,2.232459856419772,0.04,3.764999999999999,0.0449999999999999,3.7249999999999988,
F02,Motor_current,pre_120_to_60m,364,1.920631868131868,0.0424999999999995,2.296462142894471,0.0424999999999995,3.7906249999999995,0.0449999999999999,3.7249999999999988,-0.0006711409395974224
F02,Motor_current,pre_60m,363,2.475468319559228,0.0449999999999999,2.581695391061002,0.0424999999999995,5.60125,0.0449999999999999,3.7249999999999988,0.0
F02,Motor_current,failure,2360,5.566485169491526,5.612500000000001,0.2242416516777208,5.5525,5.6875,0.0449999999999999,3.7249999999999988,1.4946308724832222
F03,TP2,baseline_24h_to_2h,7990,0.9297704630788489,-0.0120000000000004,2.807150889610245,-0.0139999999999993,-0.0120000000000004,-0.0120000000000004,0.0019999999999989002,
F03,TP2,pre_120_to_60m,363,1.072528925619835,-0.0120000000000004,3.0207530666425897,-0.0139999999999993,-0.0120000000000004,-0.0120000000000004,0.0019999999999989002,0.0
F03,TP2,pre_60m,363,2.254815426997245,-0.0120000000000004,3.830371999386483,-0.0139999999999993,6.086,-0.0120000000000004,0.0019999999999989002,0.0
F03,TP2,failure,17315,7.891594686687843,8.146,0.6820527137447842,7.848000000000001,8.314,-0.0120000000000004,0.0019999999999989002,4079.0000000022437
F03,TP3,baseline_24h_to_2h,7990,9.011597496871088,8.996,0.5826725690836498,8.502,9.5,8.996,0.9979999999999993,
F03,TP3,pre_120_to_60m,363,9.142865013774106,9.188,0.5735121138317909,8.687999999999999,9.606,8.996,0.9979999999999993,0.19238476953907846
F03,TP3,pre_60m,363,8.980418732782368,8.948,0.5544554452371135,8.527,9.417,8.996,0.9979999999999993,-0.048096192384769615
F03,TP3,failure,17315,8.01816240254115,8.078,0.28594133812069694,7.932,8.16,8.996,0.9979999999999993,-0.9198396793587191
F03,H1,baseline_24h_to_2h,7990,8.03257947434293,8.842,2.8140714562000815,8.332,9.3975,8.842,1.0655000000000001,
F03,H1,pre_120_to_60m,363,8.0511955922865,9.078,3.0074146149238996,8.456,9.527000000000001,8.842,1.0655000000000001,0.22149225715626358
F03,H1,pre_60m,363,6.6161046831955925,8.566,4.012169099631617,-0.0079999999999991,9.327,8.842,1.0655000000000001,-0.25903331769122456
F03,H1,failure,17315,-0.007262258157666275,-0.0079999999999991,0.0020328264491055147,-0.0079999999999991,-0.0060000000000002,8.842,1.0655000000000001,-8.305959643359923
F03,DV_pressure,baseline_24h_to_2h,7990,-0.01341677096370405,-0.0199999999999995,0.13253353286213687,-0.0219999999999984,-0.0199999999999995,-0.0199999999999995,0.0019999999999988985,
F03,DV_pressure,pre_120_to_60m,363,-0.01773553719008168,-0.0199999999999995,0.04890464878563161,-0.0219999999999984,-0.0199999999999995,-0.0199999999999995,0.0019999999999988985,0.0
F03,DV_pressure,pre_60m,363,0.3478071625344358,-0.0199999999999995,0.8427869291907976,-0.0199999999999995,-0.0180000000000006,-0.0199999999999995,0.0019999999999988985,0.0
F03,DV_pressure,failure,17315,2.0162494946578113,2.103999999999999,0.24679566338908954,1.924,2.2140000000000004,-0.0199999999999995,0.0019999999999988985,1062.0000000005844
F03,Reservoirs,baseline_24h_to_2h,7990,9.011655819774717,8.997,0.5817300789710117,8.502,9.498,8.997,0.9959999999999987,
F03,Reservoirs,pre_120_to_60m,363,9.142561983471074,9.188,0.5726053218167384,8.687999999999999,9.605,8.997,0.9959999999999987,0.19176706827309337
F03,Reservoirs,pre_60m,363,8.980887052341597,8.946,0.5533861568460139,8.529,9.419,8.997,0.9959999999999987,-0.05120481927710866
F03,Reservoirs,failure,17315,8.020119203003176,8.082,0.2863940698436273,7.933999999999999,8.16,8.997,0.9959999999999987,-0.918674698795181
F03,Oil_temperature,baseline_24h_to_2h,7990,63.7322590738423,63.14999999999999,4.251212508794717,60.25,67.25000000000001,63.14999999999999,7.000000000000014,
F03,Oil_temperature,pre_120_to_60m,363,64.51473829201103,63.900000000000006,3.8040968756137805,61.137499999999996,67.35,63.14999999999999,7.000000000000014,0.10714285714285895
F03,Oil_temperature,pre_60m,363,65.33870523415978,64.39999999999999,4.666939883581261,61.1125,68.7875,63.14999999999999,7.000000000000014,0.17857142857142821
F03,Oil_temperature,failure,17315,75.51673837712966,75.55000000000001,1.5290663224913947,75.1,76.15,63.14999999999999,7.000000000000014,1.7714285714285707
F03,Motor_current,baseline_24h_to_2h,7990,1.7401883604505632,0.0449999999999999,2.1767999209237914,0.0424999999999995,3.76,0.0449999999999999,3.7175000000000002,
F03,Motor_current,pre_120_to_60m,363,2.018078512396694,0.0449999999999999,2.228056960779108,0.0424999999999995,3.774999999999999,0.0449999999999999,3.7175000000000002,0.0
F03,Motor_current,pre_60m,363,2.4034297520661156,0.0449999999999999,2.495456121992917,0.0424999999999995,5.187499999999999,0.0449999999999999,3.7175000000000002,0.0
F03,Motor_current,failure,17315,5.49353768408894,5.5275,0.15380807371330577,5.452500000000001,5.5975,0.0449999999999999,3.7175000000000002,1.4747814391392062
F04,TP2,baseline_24h_to_2h,5459,3.288174024546621,-0.009999999999998,4.510170142500724,-0.0120000000000004,9.055,-0.009999999999998,9.067,
F04,TP2,pre_120_to_60m,363,5.419608815426998,8.65,4.738365283434687,-0.009999999999998,9.762,-0.009999999999998,9.067,0.9551119444138081
F04,TP2,pre_60m,363,6.798909090909091,9.334,4.410211666034468,-0.0060000000000002,10.018,-0.009999999999998,9.067,1.0305503474136977
F04,TP2,failure,1622,8.265366214549939,8.368,1.758510703459525,7.6065,9.434000000000001,-0.009999999999998,9.067,0.9240101466857834
F04,TP3,baseline_24h_to_2h,5459,9.089963363253343,9.08,0.61661420232546,8.562,9.61,9.08,1.048,
F04,TP3,pre_120_to_60m,363,9.213123966942149,9.236,0.6239087742794567,8.718,9.753,9.08,1.048,0.14885496183206162
F04,TP3,pre_60m,363,9.298187327823692,9.39,0.6241680147746291,8.806,9.831,9.08,1.048,0.2958015267175577
F04,TP3,failure,1622,8.207420468557336,8.216000000000001,1.1321648971111657,7.269,9.221,9.08,1.048,-0.8244274809160296
F04,H1,baseline_24h_to_2h,5459,5.794675215240887,8.488,4.360464793536974,-0.009999999999998,9.207,8.488,9.216999999999999,
F04,H1,pre_120_to_60m,363,3.854198347107438,-0.0040000000000013,4.520133331077247,-0.0060000000000002,8.879,8.488,9.216999999999999,-0.9213410003254857
F04,H1,pre_60m,363,2.58038567493113,-0.0040000000000013,4.126832430096062,-0.0060000000000002,8.371,8.488,9.216999999999999,-0.9213410003254857
F04,H1,failure,1622,0.24674722564734902,-0.0019999999999988,1.5108675893421917,-0.0040000000000013,-0.0019999999999988,8.488,9.216999999999999,-0.9211240099815557
F04,DV_pressure,baseline_24h_to_2h,5459,-0.003798864260853413,-0.0180000000000006,0.2482130637554433,-0.0180000000000006,-0.0159999999999982,-0.0180000000000006,0.002000000000002399,
F04,DV_pressure,pre_120_to_60m,363,0.01582920110192886,-0.0120000000000004,0.3505131258742437,-0.0120000000000004,-0.009999999999998,-0.0180000000000006,0.002000000000002399,2.999999999996501
F04,DV_pressure,pre_60m,363,-0.008727272727271333,-0.009999999999998,0.027534408408550114,-0.009999999999998,-0.009999999999998,-0.0180000000000006,0.002000000000002399,3.999999999996501
F04,DV_pressure,failure,1622,-0.008758323057951867,-0.0079999999999991,0.0013290431634215916,-0.009999999999998,-0.0079999999999991,-0.0180000000000006,0.002000000000002399,4.999999999994752
F04,Reservoirs,baseline_24h_to_2h,5459,9.091409782011356,9.082,0.6153849248840736,8.566,9.61,9.082,1.0439999999999987,
F04,Reservoirs,pre_120_to_60m,363,9.213426997245179,9.236,0.6224402893890872,8.719000000000001,9.752,9.082,1.0439999999999987,0.1475095785440614
F04,Reservoirs,pre_60m,363,9.297123966942149,9.39,0.6230579316943196,8.806000000000001,9.83,9.082,1.0439999999999987,0.2950191570881228
F04,Reservoirs,failure,1622,8.20517509247842,8.215,1.1322301872680187,7.2685,9.2195,9.082,1.0439999999999987,-0.8304597701149444
F04,Oil_temperature,baseline_24h_to_2h,5459,72.1409003480491,72.64999999999999,2.8079621438996853,70.64999999999999,74.025,72.64999999999999,3.375000000000014,
F04,Oil_temperature,pre_120_to_60m,363,76.2935261707989,76.275,2.1678932516515403,74.41250000000001,78.125,72.64999999999999,3.375000000000014,1.0740740740740737
F04,Oil_temperature,pre_60m,363,78.97871900826446,79.375,1.9805720609918085,77.3875,80.55,72.64999999999999,3.375000000000014,1.9925925925925867
F04,Oil_temperature,failure,1622,83.90570283600495,84.60000000000002,3.2484200828099197,81.275,86.74375,72.64999999999999,3.375000000000014,3.540740740740735
F04,Motor_current,baseline_24h_to_2h,5459,4.283212126763144,3.710000000000001,1.422033543757235,3.65,5.809999999999999,3.710000000000001,2.159999999999999,
F04,Motor_current,pre_120_to_60m,363,4.903746556473829,5.6525,1.115852286412364,3.6374999999999993,5.91625,3.710000000000001,2.159999999999999,0.8993055555555556
F04,Motor_current,pre_60m,363,5.212741046831956,5.787500000000001,1.029526033681876,3.665000000000001,5.954999999999998,3.710000000000001,2.159999999999999,0.9618055555555564
F04,Motor_current,failure,1622,5.510272811344019,5.515000000000001,0.44750351825096957,5.344999999999999,5.7775,3.710000000000001,2.159999999999999,0.8356481481481485
